RTT_tminus4,IAT1_tminus4,Qfrac_tminus4,QfracCap_tminus4,Cap_tminus4,RTT_tminus3,IAT1_tminus3,Qfrac_tminus3,QfracCap_tminus3,Cap_tminus3,RTT_tminus2,IAT1_tminus2,Qfrac_tminus2,QfracCap_tminus2,Cap_tminus2,RTT_tminus1,IAT1_tminus1,Qfrac_tminus1,QfracCap_tminus1,Cap_tminus1,RTT_tminus0,IAT1_tminus0,Qfrac_tminus0,QfracCap_tminus0,Cap_tminus0
0.09172362699999999,0.0,0.0,0.0,169952.0,0.120487335,4.275e-06,0.0,0.0,169952.0,0.126559532,1.3449000000000001e-05,0.0,0.0,169952.0,0.126613115,9.33e-07,0.0,0.0,169952.0,0.12662251800000002,6.736e-06,0.0,0.0,169952.0
0.120487335,4.275e-06,0.0,0.0,169952.0,0.126559532,1.3449000000000001e-05,0.0,0.0,169952.0,0.126613115,9.33e-07,0.0,0.0,169952.0,0.12662251800000002,6.736e-06,0.0,0.0,169952.0,0.12663638300000002,8.88e-07,0.0,0.0,169952.0
0.126559532,1.3449000000000001e-05,0.0,0.0,169952.0,0.126613115,9.33e-07,0.0,0.0,169952.0,0.12662251800000002,6.736e-06,0.0,0.0,169952.0,0.12663638300000002,8.88e-07,0.0,0.0,169952.0,0.126645121,5.5129999999999996e-06,0.0,0.0,169952.0
0.126613115,9.33e-07,0.0,0.0,169952.0,0.12662251800000002,6.736e-06,0.0,0.0,169952.0,0.12663638300000002,8.88e-07,0.0,0.0,169952.0,0.126645121,5.5129999999999996e-06,0.0,0.0,169952.0,0.126659363,8.85e-07,0.0,0.0,169952.0
0.12662251800000002,6.736e-06,0.0,0.0,169952.0,0.12663638300000002,8.88e-07,0.0,0.0,169952.0,0.126645121,5.5129999999999996e-06,0.0,0.0,169952.0,0.126659363,8.85e-07,0.0,0.0,169952.0,0.126668304,5.8070000000000005e-06,0.0,0.0,169952.0
0.12663638300000002,8.88e-07,0.0,0.0,169952.0,0.126645121,5.5129999999999996e-06,0.0,0.0,169952.0,0.126659363,8.85e-07,0.0,0.0,169952.0,0.126668304,5.8070000000000005e-06,0.0,0.0,169952.0,0.12668157,8.9e-07,0.0,0.0,169952.0
0.126645121,5.5129999999999996e-06,0.0,0.0,169952.0,0.126659363,8.85e-07,0.0,0.0,169952.0,0.126668304,5.8070000000000005e-06,0.0,0.0,169952.0,0.12668157,8.9e-07,0.0,0.0,169952.0,0.045033381,0.081662632,0.003008,0.0,0.0
0.126659363,8.85e-07,0.0,0.0,169952.0,0.126668304,5.8070000000000005e-06,0.0,0.0,169952.0,0.12668157,8.9e-07,0.0,0.0,169952.0,0.045033381,0.081662632,0.003008,0.0,0.0,0.035003678999999996,0.01004343,0.0,0.0,147392.0
0.126668304,5.8070000000000005e-06,0.0,0.0,169952.0,0.12668157,8.9e-07,0.0,0.0,169952.0,0.045033381,0.081662632,0.003008,0.0,0.0,0.035003678999999996,0.01004343,0.0,0.0,147392.0,0.029284621,0.006090231999999999,0.0,0.0,70688.0
0.12668157,8.9e-07,0.0,0.0,169952.0,0.045033381,0.081662632,0.003008,0.0,0.0,0.035003678999999996,0.01004343,0.0,0.0,147392.0,0.029284621,0.006090231999999999,0.0,0.0,70688.0,0.057453185999999996,2.781e-06,0.0,0.0,70688.0
0.045033381,0.081662632,0.003008,0.0,0.0,0.035003678999999996,0.01004343,0.0,0.0,147392.0,0.029284621,0.006090231999999999,0.0,0.0,70688.0,0.057453185999999996,2.781e-06,0.0,0.0,70688.0,0.057516015999999996,1.7762e-05,0.0,0.0,70688.0
0.035003678999999996,0.01004343,0.0,0.0,147392.0,0.029284621,0.006090231999999999,0.0,0.0,70688.0,0.057453185999999996,2.781e-06,0.0,0.0,70688.0,0.057516015999999996,1.7762e-05,0.0,0.0,70688.0,0.057531202000000004,1.139e-06,0.0,0.0,70688.0
0.029284621,0.006090231999999999,0.0,0.0,70688.0,0.057453185999999996,2.781e-06,0.0,0.0,70688.0,0.057516015999999996,1.7762e-05,0.0,0.0,70688.0,0.057531202000000004,1.139e-06,0.0,0.0,70688.0,0.057539215,1.3849e-05,0.0,0.0,70688.0
0.057453185999999996,2.781e-06,0.0,0.0,70688.0,0.057516015999999996,1.7762e-05,0.0,0.0,70688.0,0.057531202000000004,1.139e-06,0.0,0.0,70688.0,0.057539215,1.3849e-05,0.0,0.0,70688.0,0.057547682,1.3483e-05,0.0,0.0,70688.0
0.057516015999999996,1.7762e-05,0.0,0.0,70688.0,0.057531202000000004,1.139e-06,0.0,0.0,70688.0,0.057539215,1.3849e-05,0.0,0.0,70688.0,0.057547682,1.3483e-05,0.0,0.0,70688.0,0.057579693,1.3659000000000001e-05,0.0,0.0,70688.0
0.057531202000000004,1.139e-06,0.0,0.0,70688.0,0.057539215,1.3849e-05,0.0,0.0,70688.0,0.057547682,1.3483e-05,0.0,0.0,70688.0,0.057579693,1.3659000000000001e-05,0.0,0.0,70688.0,0.062895094,1.368e-05,0.0,0.0,70688.0
0.057539215,1.3849e-05,0.0,0.0,70688.0,0.057547682,1.3483e-05,0.0,0.0,70688.0,0.057579693,1.3659000000000001e-05,0.0,0.0,70688.0,0.062895094,1.368e-05,0.0,0.0,70688.0,0.062910198,1.2729000000000001e-05,0.0,0.0,70688.0
0.057547682,1.3483e-05,0.0,0.0,70688.0,0.057579693,1.3659000000000001e-05,0.0,0.0,70688.0,0.062895094,1.368e-05,0.0,0.0,70688.0,0.062910198,1.2729000000000001e-05,0.0,0.0,70688.0,0.062916054,1.3518e-05,0.0,0.0,70688.0
